ID_cellule	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Min	Max	Range	Mean
ID1	-5.89	35.71	15.4681629	14.82202288	14.97221927	15.6964092	17.37936978	19.22909168	20.98674926	21.95506453	21.51191235	19.98665739	18.2249697	16.69260027	14.04266534	23.81969585	9.777030516	18.07710243
ID2	-5.89	35.81	15.40034361	14.77441148	14.92324609	15.6443509	17.34549917	19.21869718	20.98301875	22.00204399	21.56746338	20.03465999	18.21649243	16.64457241	14.06144533	23.79669227	9.735246945	18.06289995
ID3	-5.89	36.01	15.15646341	14.59443568	14.79415856	15.55936936	17.35580138	19.30917754	20.98871982	22.15241478	21.80344077	20.30394184	18.29529795	16.45326246	13.90391762	23.80366773	9.899750109	18.06387363
ID4	-5.89	36.11	15.13525542	14.57668409	14.77631928	15.52472872	17.27887179	19.24317263	20.96426534	22.17165298	21.78294171	20.25275299	18.22679076	16.36358766	13.86200984	23.82942603	9.967416193	18.02475195
ID5	-5.89	36.21	15.22186471	14.64043893	14.83538032	15.58395044	17.32017237	19.24485426	20.97170364	22.14177582	21.74028023	20.21202705	18.23874452	16.45176051	13.88756145	23.81692543	9.929363979	18.05024607
ID6	-5.79	35.81	15.35484303	14.76188293	14.88024292	15.54821254	17.17442878	19.03803898	20.82493368	21.78623695	21.3574942	19.87293078	18.08585052	16.50454982	14.09440818	23.72727555	9.632867373	17.93247043
ID7	-5.79	35.91	15.33362185	14.74310048	14.86724495	15.53880627	17.21316407	19.1249931	20.89216284	21.90882574	21.50239445	20.0209609	18.1608777	16.53991723	14.08842634	23.73917094	9.650744596	17.98717247
ID8	-5.79	36.01	15.13507961	14.58508842	14.7614526	15.47763366	17.22630499	19.18669373	20.89446449	22.08799857	21.72576715	20.2012624	18.1911384	16.36294288	13.93055235	23.80313617	9.872583816	17.98631891
ID9	-5.79	36.11	15.17008339	14.60621267	14.78865218	15.5131116	17.25110097	19.1960067	20.92105479	22.10454362	21.71824274	20.18636808	18.20166162	16.39657273	13.91222541	23.80835689	9.896131481	18.00446759
ID10	-5.69	35.81	15.29958649	14.7128459	14.84864784	15.52180362	17.17998644	19.07899772	20.85037771	21.88631023	21.45126888	19.93475302	18.11810906	16.47800419	14.03662549	23.73399147	9.697365984	17.94672426
