ID_taxon	Super_class	Order	Family	Genus	Species	Max_length	Vertical_Distribution	Littoral	Continental_shelf	Continental_slope	Open_ocean	Habitat_soft	Habitat_rocky	Habitat_posidonia	Min_depth	Max_depth	Migration	Reproduction	Sex_reversal	Semelparity	Behavior	Diet	Trophic_level	Origin
133	osteichthyen	Perciformes	Pomacentridae	Abudefduf	Abudefduf_vaigiensis	18	Demersal	1	1	1	0	0	1	0	1	15	Oceanodromous	Oviparous	no	no	Gregarious	Omnivorous	2.6	L
201	osteichthyen	Perciformes	Scombridae	Acanthocybium	Acanthocybium_solandri	210	Pelagic	0	0	0	1	0	0	0	1	30	no	Oviparous	no	no	Gregarious	Piscivorous	4.3	U
202	osteichthyen	Perciformes	Labridae	Acantholabrus	Acantholabrus_palloni	28	Benthic	1	0	0	0	1	1	0	30	250	no	Oviparous	Protogynous	no	Solitary	Carnivorous	3.5	U
1	osteichthyen	Perciformes	Acanthuridae	Acanthurus	Acanthurus_monroviae	45	Benthic	1	0	0	0	0	1	0	10	30	no	Oviparous	no	no	Gregarious	Omnivorous	2.5	A
203	osteichthyen	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_gueldenstaedtii	230	Demersal	1	0	0	0	1	0	0	5	20	Anadromous	Oviparous	no	no	Both	Carnivorous	3.3	U
52	osteichthyen	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_naccarii	200	Demersal	1	0	0	0	1	0	0	10	30	Anadromous	Oviparous	no	no	NA	Carnivorous	3.4	E
204	osteichthyen	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_nudiventris	200	Demersal	1	0	0	0	1	0	0	30	60	Anadromous	Oviparous	no	no	Solitary	Carnivorous	3.3	U
53	osteichthyen	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_stellatus	190	Demersal	1	0	0	0	1	0	0	10	100	Anadromous	Oviparous	no	no	NA	Carnivorous	3.5	E
205	osteichthyen	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_sturio	300	Demersal	1	0	0	0	1	0	0	20	50	Anadromous	Oviparous	no	no	Solitary	Carnivorous	3.5	U
206	osteichthyen	Perciformes	Blenniidae	Aidablennius	Aidablennius_sphynx	8	Benthic	1	0	0	0	0	1	0	0.5	2	no	Oviparous	no	no	Solitary	Omnivorous	2.8	U
207	osteichthyen	Perciformes	Carangidae	Alectis	Alectis_alexandrina	100	Demersal	1	0	0	0	1	1	1	1	50	NA	Oviparous	no	no	Solitary	Carnivorous	3.6	U
134	osteichthyen	Perciformes	Carangidae	Alepes	Alepes_djedaba	40	Pelagic	1	0	0	0	0	1	0	5	30	Amphidromous	Oviparous	no	no	Gregarious	Carnivorous	3.3	L
520	osteichthyen	Osmeriformes	Alepocephalidae	Alepocephalus	Alepocephalus_rostratus	70	Benthic	0	0	0	1	1	0	0	300	1600	NA	Oviparous	no	no	NA	Carnivorous	3.7	U
506	chondrichtyen	Lamniformes	Alopiidae	Alopias	Alopias_vulpinus	760	Pelagic	0	0	0	1	0	0	0	1	50	Oceanodromous	Ovoviviparous	no	no	Solitary	Carnivorous	4.5	U
208	osteichthyen	Clupeiformes	Clupeidae	Alosa	Alosa_alosa	70	Pelagic	0	1	1	0	0	0	0	1	50	Anadromous	Oviparous	no	no	Gregarious	Carnivorous	3	U
209	osteichthyen	Clupeiformes	Clupeidae	Alosa	Alosa_fallax	55	Pelagic	1	0	0	0	0	0	0	1	250	Anadromous	NA	no	no	NA	Carnivorous	4	U
621	osteichthyen	Tetraodontiformes	Monacanthidae	Aluterus	Aluterus_monoceros	75	Demersal	0	1	0	0	0	1	0	1	50	no	Oviparous	no	no	Both	Carnivorous	3.8	A
210	osteichthyen	Anguilliformes	Anguillidae	Anguilla	Anguilla_anguilla	150	Benthic	1	1	1	0	1	0	1	1	15	Catadromous	Oviparous	no	yes	NA	Carnivorous	3.6	U
211	osteichthyen	Perciformes	Serranidae	Anthias	Anthias_anthias	27	Benthic	0	1	1	0	1	1	0	30	80	NA	Oviparous	Protogynous	no	Gregarious	Carnivorous	3.8	U
213	osteichthyen	Cyprinodontiformes	Cyprinodontidae	Aphanius	Aphanius_dispar_dispar	8	Demersal	1	0	0	0	0	0	1	1	5	Amphidromous	Oviparous	no	yes	Gregarious	Herbivorous	2	L
54	osteichthyen	Cyprinodontiformes	Cyprinodontidae	Aphanius	Aphanius_fasciatus	9	Demersal	1	0	0	0	0	0	1	1	5	Amphidromous	Oviparous	no	yes	Gregarious	Omnivorous	2.7	E
55	osteichthyen	Cyprinodontiformes	Cyprinodontidae	Aphanius	Aphanius_iberus	5	Demersal	1	0	0	0	0	0	1	1	5	Amphidromous	Oviparous	no	yes	Gregarious	Omnivorous	3.4	E
214	osteichthyen	Perciformes	Gobiidae	Aphia	Aphia_minuta	6	Pelagic	0	1	0	0	1	0	0	5	100	Oceanodromous	Oviparous	no	yes	Gregarious	Carnivorous	3.1	U
215	osteichthyen	Gobiesociformes	Gobiesocidae	Apletodon	Apletodon_dentatus	5.1	Benthic	1	0	0	0	0	1	0	1	20	no	Oviparous	no	no	Solitary	Carnivorous	3.1	U
216	osteichthyen	Perciformes	Apogonidae	Apogon	Apogon_imberbis	15	Benthic	1	0	0	0	1	1	0	5	50	no	Oviparous	no	no	Both	Carnivorous	3.8	U
630	osteichthyen	Perciformes	Apogonidae	Apogon	Apogon_queketti	15	Demersal	1	1	0	0	0	1	0	1	90	no	Oviparous	no	no	Gregarious	Carnivorous	3.4	L
631	osteichthyen	Perciformes	Apogonidae	Apogon	Apogon_smithi	15	Demersal	1	1	0	0	1	1	0	1	50	no	Oviparous	no	no	Gregarious	Carnivorous	3.6	L
135	osteichthyen	Perciformes	Apogonidae	Apogonichthyoides	Apogonichthyoides_pharaonis	15	Demersal	1	1	0	0	1	0	0	5	50	no	Oviparous	no	no	Gregarious	Carnivorous	3.4	L
217	osteichthyen	Perciformes	Apogonidae	Apogonichthyoides	Apogonichthyoides_taeniatus	17	Benthic	1	0	0	0	1	0	0	5	50	no	Oviparous	no	no	Gregarious	Carnivorous	3.5	U
218	osteichthyen	Anguilliformes	Ophichthidae	Apterichtus	Apterichtus_anguiformis	60	Benthic	1	0	0	0	1	0	0	10	40	NA	Oviparous	no	no	NA	Carnivorous	4	U
219	osteichthyen	Anguilliformes	Ophichthidae	Apterichtus	Apterichtus_caecus	60	Benthic	1	0	0	0	1	0	0	5	20	NA	Oviparous	no	no	NA	Carnivorous	4.1	U
532	osteichthyen	Osmeriformes	Argentinidae	Argentina	Argentina_sphyraena	45	Demersal	0	1	1	0	1	0	0	50	200	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	3.1	U
523	osteichthyen	Stomiiformes	Sternoptychidae	Argyropelecus	Argyropelecus_hemigymnus	4	Pelagic	0	0	0	1	0	0	0	1	2400	no	Oviparous	no	no	Both	Carnivorous	3.1	U
590	osteichthyen	Perciformes	Sciaenidae	Argyrosomus	Argyrosomus_regius	200	Demersal	1	0	0	0	1	1	0	15	100	Oceanodromous	Oviparous	no	no	Gregarious	Carnivorous	4.3	U
220	osteichthyen	Anguilliformes	Congridae	Ariosoma	Ariosoma_balearicum	50	Benthic	1	0	0	0	1	0	0	20	100	Oceanodromous	Oviparous	no	no	Solitary	Carnivorous	3.9	U
2	osteichthyen	Siluriformes	Ariidae	Arius	Arius_parkii	75	Demersal	1	0	0	0	1	0	0	50	80	no	Oviparous	no	no	Solitary	Carnivorous	4.1	A
221	osteichthyen	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_imperialis	25	Benthic	0	1	1	0	1	0	0	80	150	no	Oviparous	no	no	Solitary	Carnivorous	3.8	U
